s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 2.8884482E+000, 7.9644186E+001,-1.6536328E+001, 8.1317196E-002,-7.2555261E-001,-5.8303470E-003, 2.5229785E+001, 0.0000000E+000, 8.7695108E+001, 8.7687578E+001, 3.3832343E+001, 1.8467860E-003, 0.0000000E+000, 3.2365902E+001
 3.1291521E+000, 7.9009922E+001,-1.3578549E+001, 9.5458977E-002,-7.0367060E-001,-6.6048875E-003, 2.6326745E+001, 0.0000000E+000, 9.1810798E+001, 9.1143302E+001, 3.4067534E+001, 2.0863690E-003, 0.0000000E+000, 3.7485466E+001
 3.3698561E+000, 8.2095699E+001,-1.1431561E+001, 1.0410877E-001,-6.8672700E-001,-7.1166091E-003, 2.7039598E+001, 0.0000000E+000, 8.9227626E+001, 9.7114001E+001, 3.4148290E+001, 2.2460911E-003, 0.0000000E+000, 4.2469647E+001
 3.6105602E+000, 8.6398051E+001,-1.0176054E+001, 1.1195028E-001,-7.0471909E-001,-7.6237545E-003, 2.9211363E+001, 0.0000000E+000, 9.6570525E+001, 1.0483297E+002, 3.4198286E+001, 2.4058131E-003, 0.0000000E+000, 4.7859815E+001
 4.0919681E+000, 9.9392420E+001,-1.0695857E+001, 1.2333855E-001,-7.8492530E-001,-8.3739407E-003, 3.3609609E+001, 0.0000000E+000, 1.0983740E+002, 1.2163621E+002, 3.4238778E+001, 2.6453961E-003, 0.0000000E+000, 6.0104485E+001
 4.3326721E+000, 1.1699624E+002,-1.2694723E+001, 1.3449400E-001,-9.1462513E-001,-9.1130829E-003, 3.9316198E+001, 0.0000000E+000, 1.2801503E+002, 1.4282847E+002, 3.4260165E+001, 2.8849792E-003, 0.0000000E+000, 6.7227090E+001
 4.5383868E+000, 1.3386197E+002,-3.1201962E+001, 1.4087406E-001,-1.0154202E+000,-9.5390459E-003, 4.1179243E+001, 0.0000000E+000, 1.4334038E+002, 1.4295516E+002, 3.4267472E+001, 3.0247360E-003, 0.0000000E+000, 7.4032835E+001
 4.9292254E+000, 1.4586071E+002,-3.2972130E+001, 1.5099997E-001,-1.1845359E+000,-1.0117265E-002, 4.3391864E+001, 0.0000000E+000, 1.4465790E+002, 1.5523679E+002, 3.4272711E+001, 3.2159787E-003, 0.0000000E+000, 8.7090706E+001
 5.1143494E+000, 1.5426338E+002,-3.4427596E+001, 1.6073648E-001,-1.3735962E+000,-1.0682378E-002, 4.7204531E+001, 0.0000000E+000, 1.6197931E+002, 1.6581677E+002, 3.4275708E+001, 3.4040758E-003, 0.0000000E+000, 9.4004015E+001
 5.4845967E+000, 1.6130044E+002,-3.6682789E+001, 1.7111804E-001,-1.5743405E+000,-1.1242087E-002, 4.8774312E+001, 0.0000000E+000, 1.6657233E+002, 1.7197750E+002, 3.4277201E+001, 3.5887544E-003, 0.0000000E+000, 1.0821701E+002
 5.8548441E+000, 1.6833598E+002,-3.8099120E+001, 1.8541318E-001,-1.8597504E+000,-1.1994755E-002, 5.1032335E+001, 0.0000000E+000, 1.7483630E+002, 1.7958286E+002, 3.4278296E+001, 3.8333288E-003, 0.0000000E+000, 1.2312819E+002
 6.0399680E+000, 1.7308740E+002,-3.6294020E+001, 1.9634935E-001,-2.1111725E+000,-1.2582333E-002, 5.3064658E+001, 0.0000000E+000, 1.8017347E+002, 1.8793063E+002, 3.4278731E+001, 4.0229987E-003, 0.0000000E+000, 1.3081021E+002
