s,C,m,m
Time,"DOOR_TEMP","DOOR_VIS","LAYER_HEIGHT_DOOR"
 8.6437874E+001, 8.0807449E+001, 7.8651244E+000, 9.6861420E-001
 8.6704144E+001, 8.2779301E+001, 7.6271301E+000, 1.0028482E+000
 8.7036981E+001, 8.4110072E+001, 7.4733029E+000, 1.0502156E+000
 8.7303250E+001, 8.4773180E+001, 7.4079504E+000, 1.0903239E+000
 8.7636087E+001, 8.4603642E+001, 7.4128970E+000, 1.1158701E+000
 8.7902357E+001, 8.3945877E+001, 7.4533352E+000, 1.1149309E+000
 8.8235194E+001, 8.4070912E+001, 7.4453076E+000, 1.0785360E+000
 8.8501463E+001, 8.4605592E+001, 7.3763406E+000, 1.0331654E+000
 8.8853224E+001, 8.5226553E+001, 7.3077277E+000, 1.0302924E+000
 8.9115309E+001, 8.5679084E+001, 7.2579162E+000, 1.0576525E+000
 8.9423121E+001, 8.6182735E+001, 7.2090153E+000, 1.0849635E+000
 8.9717736E+001, 8.6943182E+001, 7.1471263E+000, 1.0873416E+000
 9.0048883E+001, 8.7642238E+001, 7.0618956E+000, 1.0547068E+000
 9.0326234E+001, 8.8206906E+001, 6.9873368E+000, 1.0080452E+000
 9.0643533E+001, 8.8328805E+001, 6.9454790E+000, 9.8219250E-001
 9.0960833E+001, 8.8597675E+001, 6.8788926E+000, 9.7532801E-001
 9.1214672E+001, 8.9073591E+001, 6.8119094E+000, 9.7861593E-001
 9.1531972E+001, 8.9705851E+001, 6.7646091E+000, 9.9332705E-001
 9.1849271E+001, 9.0186172E+001, 6.7386082E+000, 1.0022015E+000
 9.2103111E+001, 9.0452909E+001, 6.7139652E+000, 9.9662225E-001
 9.2420410E+001, 9.0737970E+001, 6.6721695E+000, 9.8490978E-001
 9.2737710E+001, 9.1210623E+001, 6.6218102E+000, 9.7222131E-001
 9.3055009E+001, 9.1788265E+001, 6.5810170E+000, 9.5482490E-001
 9.3308849E+001, 9.2298063E+001, 6.5552029E+000, 9.3640847E-001
 9.3650686E+001, 9.2618113E+001, 6.5389189E+000, 9.2190690E-001
 9.3952641E+001, 9.2736366E+001, 6.5284361E+000, 9.1474392E-001
 9.4203322E+001, 9.2772527E+001, 6.5145455E+000, 9.1306715E-001
 9.4516672E+001, 9.2885909E+001, 6.4909242E+000, 9.1590635E-001
 9.4830022E+001, 9.3193598E+001, 6.4538854E+000, 9.2451356E-001
